web_id	spu_id	sku_id	sku_name	picurl	sub_picurl	dt	item_third_cate_cd
2	537463594362	537463594362_0	【天猫超市】维他奶 椰子味豆奶饮料250ml*6盒/组 椰香满溢	//img.alicdn.com/imgextra/i4/T1OCkJFcdaXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	//img.alicdn.com/imgextra/i4/T1OCkJFcdaXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	2017-02-28	1602
2	537463594608	537463594608_0	【天猫超市】可口可乐碳酸饮料原味汽水一箱可乐330ML*24罐/箱	//img.alicdn.com/imgextra/i3/TB18Os6KFXXXXXkaXXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	//img.alicdn.com/imgextra/i3/TB18Os6KFXXXXXkaXXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	2017-02-28	1602
2	537463594883	537463594883_0	【天猫超市】雪碧碳酸饮料汽水330ML*24罐/箱 味道可口 可口可乐	//img.alicdn.com/imgextra/i4/TB1_f7VKFXXXXcwXFXXXXXXXXXX_!!2-item_pic.png_430x430q90.jpg	//img.alicdn.com/imgextra/i4/TB1_f7VKFXXXXcwXFXXXXXXXXXX_!!2-item_pic.png_430x430q90.jpg	2017-02-28	1602
2	537464662080	537464662080_0	【天猫超市】雪碧碳酸饮料清爽柠檬味330ml*6罐多连包方便装	//img.alicdn.com/imgextra/i2/TB1JJ3KNVXXXXX8XFXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	//img.alicdn.com/imgextra/i2/TB1JJ3KNVXXXXX8XFXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	2017-02-28	1602
2	537464662782	537464662782_0	【天猫超市】康师傅 冰红茶250ml* 24整箱 茶饮料饮品晋江华南	//img.alicdn.com/imgextra/i4/TB1gsSVOFXXXXb8aXXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	//img.alicdn.com/imgextra/i4/TB1gsSVOFXXXXb8aXXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	2017-02-28	1602
2	537464662868	537464662868_0	【天猫超市】华生堂苹果 醋 饮料500ml*15盒整箱非碳酸饮料/凉茶	//img.alicdn.com/imgextra/i1/TB1HEDHNFXXXXXEXFXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	//img.alicdn.com/imgextra/i1/TB1HEDHNFXXXXXEXFXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	2017-02-28	1602
2	537498489570	537498489570_0	【天猫超市】雪碧柠檬味碳酸饮料330ml*6罐组合装 可口可乐产品	//img.alicdn.com/imgextra/i2/TB144lMFVXXXXXXXFXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	//img.alicdn.com/imgextra/i2/TB144lMFVXXXXXXXFXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	2017-02-28	1602
2	537498833320	537498833320_0	【天猫超市】维他奶巧克力豆奶 250ml* 24/箱 丝丝顺滑 自然真味	//img.alicdn.com/imgextra/i3/TB1x6O3GFXXXXX5XpXXXXXXXXXX_!!1-item_pic.gif_430x430q90.jpg	//img.alicdn.com/imgextra/i3/TB1x6O3GFXXXXX5XpXXXXXXXXXX_!!1-item_pic.gif_430x430q90.jpg	2017-02-28	1602
2	537501705032	537501705032_0	【天猫超市】百事可乐 碳酸汽水饮料整箱330ml*24 聚会分享	//img.alicdn.com/imgextra/i4/TB1AjSFOpXXXXcfapXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	//img.alicdn.com/imgextra/i4/TB1AjSFOpXXXXcfapXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	2017-02-28	1602
2	537501705208	537501705208_0	【天猫超市】七喜 柠檬味碳酸汽水饮料罐装330ml*6 百事出品	//img.alicdn.com/bao/uploaded/i2/TB1N.SROpXXXXaVaXXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	//img.alicdn.com/bao/uploaded/i2/TB1N.SROpXXXXaVaXXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	2017-02-28	1602
2	537501705296	537501705296_0	【天猫超市】美年达 橙味碳酸汽水饮料整箱330ml*24 百事出品	//img.alicdn.com/imgextra/i2/TB1g.SOOpXXXXbOaXXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	//img.alicdn.com/imgextra/i2/TB1g.SOOpXXXXbOaXXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	2017-02-28	1602
2	537502101231	537502101231_0	【天猫超市】和其正凉茶茶饮料600ml*15瓶/箱年货圣诞草本饮料	//img.alicdn.com/imgextra/i1/TB1iTMcJFXXXXXMXFXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	//img.alicdn.com/imgextra/i1/TB1iTMcJFXXXXXMXFXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	2017-02-28	1602
2	537503613501	537503613501_0	【天猫超市】风行 红枣枸杞牛奶200ml*12盒/箱 奶更新鲜 健康美味	//img.alicdn.com/imgextra/i1/TB1452gHVXXXXcQXFXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	//img.alicdn.com/imgextra/i1/TB1452gHVXXXXcQXFXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	2017-02-28	1602
2	537503613887	537503613887_0	【天猫超市】风行 蓝莓牛奶200ml*12盒/箱 奶更新鲜 健康美味	//img.alicdn.com/imgextra/i2/TB1djxmHFXXXXcCaXXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	//img.alicdn.com/imgextra/i2/TB1djxmHFXXXXcCaXXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	2017-02-28	1602
2	537503613908	537503613908_0	【天猫超市】风行礼盒装木瓜牛奶饮料200ml*12盒/箱 健康美味	//img.alicdn.com/imgextra/i4/TB1mnsTHXXXXXXzapXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	//img.alicdn.com/imgextra/i4/TB1mnsTHXXXXXXzapXXXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	2017-02-28	1602
2	537503613925	537503613925_0	【天猫超市】杨协成马蹄爽6罐装 果粒饮料 清凉饮料 营养健康	//img.alicdn.com/imgextra/i1/16215025072488739/T1lX0FFfJaXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	//img.alicdn.com/imgextra/i1/16215025072488739/T1lX0FFfJaXXXXXXXX_!!0-item_pic.jpg_430x430q90.jpg	2017-02-28	1602
